Sourceid,Targetid,Voyageid,Env,TargetConfigFile,Key,Value,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.con.format,jdbc,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.con.url,jdbc:oracle:thin:@10.2.52.196:1521:emsvqa,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.user,EMSDAL,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.password,DALUSER1,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.table,EMS.VW_ODBC_DAILYDEVSTAT,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.con.driver,oracle.jdbc.driver.OracleDriver,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.config.id,KonamiDeviceType,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.voyage.id,SC1912065NCM,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.config.id,DailyDevTypeIng,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.location, /data/apps/nbx/hive/landing/konami/hvtb_lnd_konami_vw_odbc_devicetype,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.hive.table,shipdw.hvtb_lnd_konami_vw_odbc_devicetype,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.src.table.query,"""(SELECT GSTID,GSTNAME,DEVTYPID,DEVTYPNAME,LASTMODDATE,LASTMODBY from EMS.VW_ODBC_DEVICETYPE)""",,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.condition.column,LASTMODDATE,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.offset.mode,overwrite,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.ops.table.format,org.apache.phoenix.spark,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.ops.table.mode,overwrite,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.enablerops_table,SHIP.HBTB_INGESTION_METADATA,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.target.zkurl,q-lab-hdp-adb1.virginvoyages.qa.dev:2181/hbase-secure:nbx.service@VIRGINVOYAGES.QA.DEV:/home/nbx.service/nbx.keytab,,,
KonamiDeviceType,DailyDevTypeIng,SC1912065NCM,Dev,/data/apps/nbx/JDBC/Ingestion/conf/KonamiDeviceType_DailyDevTypeIng,spark.datasource.hive.warehouse.load.staging.dir,/tmp,,,
